50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.322135,,,,,,,,,,,657529bd-c75f-42fd-872f-70a053e1bdda,1147,,"[114.3, 15.6]",3794688,29,,,,,1.8269477,,Right Foot,True,,,"[108.8, 36.6]",,High Pass,,21.708294,,,Incomplete,,Bukayo Saka,22084.0,,,,,,1,Regular Play,Raheem Sterling,3233.0,Left Wing,67,England,768,"['375dc9f6-00f0-4b1c-82d1-ab06bb00a8aa', '7d8e8c28-eea7-4a54-a6e2-3c02a0cdd720']",49,,,,,,,,,,,,,,,,,,England,768,00:29:49.849,Pass,
,,,,,,,,,,,,,,,,1.327582,,,,,,,,,,,9535d2e4-014c-40ba-950f-ae3fcfd66143,1150,,"[97.8, 30.2]",3794688,29,,,,,-0.82537687,,Head,,,,"[103.8, 23.7]",,High Pass,,8.845903,,,Incomplete,,Luke Shaw,3382.0,,,,,Recovery,1,Regular Play,Declan Rice,3943.0,Left Defensive Midfield,67,England,768,"['558bac76-c394-4cb5-8a41-f2cc8d8a7d6b', 'cedbdb3b-93ae-492d-8ece-ae612d7fd3c7']",53,,,,,,,,,,,,,,,,,,England,768,00:29:53.508,Pass,
,,,,,,,,,,,,,,,,0.694962,,,,,,,,,,,cedbdb3b-93ae-492d-8ece-ae612d7fd3c7,1152,,"[16.3, 56.4]",3794688,29,,,,,-1.7742894,,Right Foot,,,,"[15.0, 50.1]",,Ground Pass,,6.432729,,,,,Matthias Ginter,8808.0,,,,,Recovery,1,Regular Play,Joshua Kimmich,5579.0,Right Wing Back,68,Germany,770,"['5b1e5cc8-be36-4588-822d-f507b0545aa7', '9535d2e4-014c-40ba-950f-ae3fcfd66143']",54,,,,,,,,,,,,,,,,,,Germany,770,00:29:54.836,Pass,
,,,,,,,,,,,,,,,,1.680611,,,,,,,,,,,be2dabe8-7f6d-462a-a1a3-fbe1aff174ff,1155,,"[15.0, 50.1]",3794688,29,,,,,-2.284887,,Right Foot,,,,"[4.6, 38.1]",,Ground Pass,,15.879546,,,,,Manuel Neuer,5570.0,,,,,,1,Regular Play,Matthias Ginter,8808.0,Right Center Back,68,Germany,770,['8ab58981-68db-4973-8ba4-6aea9addd4d2'],57,,,,,,,,,,,,,,,,,,Germany,770,00:29:57.258,Pass,
,,,,,,,,,,,,,,,,2.749515,,,,,,,,,,,f6f32e6d-7eec-479d-a183-78b04129ea67,1159,,"[5.7, 46.4]",3794688,30,,,,,0.61873436,,Right Foot,,,,"[43.2, 73.1]",,High Pass,,46.03412,,,,,Joshua Kimmich,5579.0,,,,,,1,Regular Play,Manuel Neuer,5570.0,Goalkeeper,68,Germany,770,"['664845ae-f3f5-4b52-8905-8862bcdaba61', 'f989483b-6584-4460-8a0d-225b81da32a6']",1,,,,,,,,,,,,,,,,,,Germany,770,00:30:01.163,Pass,True
,,,,,,,,,,,,,,,,1.644091,,,,,,,,,,,d5112cbf-3564-4701-9593-e16a92351e94,1165,,"[48.7, 73.1]",3794688,30,,,,,-2.6069984,,Right Foot,,,,"[33.5, 64.1]",,Ground Pass,,17.664654,,,,,Matthias Ginter,8808.0,,,,,Free Kick,1,From Free Kick,Joshua Kimmich,5579.0,Right Wing Back,69,Germany,770,['3b78ac02-7025-4909-b278-d0c5c07af8e4'],23,,,,,,,,,,,,,,,,,,Germany,770,00:30:23.252,Pass,
,,,,,,,,,,,,,,,,1.500526,,,,,,,,,,,d819bd4a-a5ee-4cc7-b93e-1d88e5475be3,1168,,"[34.8, 61.1]",3794688,30,,,,,-1.5596236,,Right Foot,,,,"[35.0, 43.2]",,Ground Pass,,17.901117,,,,,Mats Hummels,5572.0,,,,,,1,From Free Kick,Matthias Ginter,8808.0,Right Center Back,69,Germany,770,['a2811916-c52a-44cb-a450-d192eef4168c'],26,,,,,,,,,,,,,,,,,,Germany,770,00:30:26.286,Pass,
,,,,,,,,,,,,,,,,1.266127,,,,,,,,,,,0b53fa24-4e84-4a5e-bc1a-f916434a6ea0,1171,,"[34.8, 36.7]",3794688,30,,,,,-1.3751738,,Right Foot,,,,"[39.1, 15.0]",,Ground Pass,,22.121935,,,,,Antonio Rüdiger,3167.0,,,,,,1,From Free Kick,Mats Hummels,5572.0,Center Back,69,Germany,770,['63ad8903-7c38-4eb3-be1b-0981368c4fee'],28,,,,,,,,,,,,,,,,,,Germany,770,00:30:28.918,Pass,
,,,,,,,,,,,,,,,,1.585427,,,,,,,,,,,4c238a6c-af8b-4ee2-95bf-7ba75feb5231,1174,,"[39.1, 14.0]",3794688,30,,,,,2.0593498,,Left Foot,,,,"[33.2, 25.1]",,Ground Pass,,12.5706005,,,,,Mats Hummels,5572.0,,,,,,1,From Free Kick,Antonio Rüdiger,3167.0,Left Center Back,69,Germany,770,['4598409c-5b67-4624-b447-664b406244c7'],31,,,,,,,,,,,,,,,,,,Germany,770,00:30:31.456,Pass,
,,,,,,,,,,,,,,,,1.605012,,,,,,,,,,,bb3be164-c217-4564-b358-8d66bea065fb,1177,,"[38.3, 31.0]",3794688,30,,,,,1.815775,,Left Foot,,,,"[32.5, 54.2]",,Ground Pass,,23.914013,,,,,Matthias Ginter,8808.0,,,,,,1,From Free Kick,Mats Hummels,5572.0,Center Back,69,Germany,770,['6dfee414-53c2-49fb-acb6-d261ad6bd24d'],36,,,,,,,,,,,,,,,,,,Germany,770,00:30:36.706,Pass,
